caldt,vwretd,vwretx,totval
19480331,-0.003641,-0.017062,59197575.90
19480630,0.114969,0.100817,65379874.80
19480930,-0.075135,-0.087709,59651125.00
19481231,-0.005964,-0.028232,58301258.20
19490331,0.014597,-0.001063,58559914.80
19490630,-0.043868,-0.059490,55347129.80
19490930,0.119614,0.104000,61622369.60
19491231,0.105854,0.081009,67344403.40
19500331,0.046434,0.031812,70025751.80
19500630,0.023602,0.009347,71044150.40
19500929,0.120187,0.101941,78695005.80
19501230,0.087396,0.060824,84833973.90
19510331,0.050979,0.037201,88759457.70
19510629,0.000264,-0.013279,88262493.90
19510928,0.130012,0.115499,98477508.70
19511231,0.018106,0.000887,100725150.00
19520331,0.036911,0.023594,103564260.00
19520630,0.020951,0.007866,104657381.00
19520930,-0.014640,-0.027014,102115737.00
19521231,0.086458,0.069975,111187860.00
19530331,-0.016279,-0.028295,108145450.00
19530630,-0.037009,-0.049383,103306735.00
19530930,-0.017102,-0.030294,100220875.00
19531231,0.078110,0.060275,108286194.00
19540331,0.111236,0.097812,118925885.00
19540630,0.088675,0.076377,128253185.00
19540930,0.093114,0.081145,138686714.00
19541231,0.137399,0.122180,159614395.00
19550331,0.037374,0.027515,164337718.00
19550630,0.113843,0.103578,181601452.00
19550930,0.022469,0.013134,184129796.00
19551230,0.061537,0.048051,197213978.00
19560329,0.079543,0.069849,212017665.00
19560629,-0.008882,-0.018158,208101994.00
19560928,-0.031082,-0.039899,200488460.00
19561231,0.047381,0.034934,211375251.00
19570329,-0.027323,-0.037161,204455009.00
19570628,0.078039,0.067919,219540387.00
19570930,-0.096754,-0.105742,197008021.00
19571231,-0.053439,-0.065462,187753792.00
19580331,0.069498,0.057983,198763615.00
19580630,0.087321,0.076582,214023052.00
19580930,0.116725,0.106781,236327473.00
19581231,0.114839,0.104736,267804898.00
19590331,0.025207,0.017135,273007793.00
19590630,0.058952,0.050844,287839200.00
19590930,-0.024455,-0.031900,278902307.00
19591231,0.063608,0.054059,299021494.00
19600331,-0.064925,-0.072716,278159487.00
19600630,0.041557,0.032858,288136229.00
19600930,-0.050410,-0.058240,272307316.00
19601230,0.094341,0.084389,299423865.00
19610330,0.137096,0.128799,339806367.00
19610630,0.002283,-0.004775,338886860.00
19610929,0.036471,0.029352,350935373.00
19611229,0.074790,0.066374,378064824.00
19620330,-0.021946,-0.028782,369437300.00
19620629,-0.213514,-0.220048,287510458.00
19620928,0.035698,0.027073,321975418.00
19621231,0.125761,0.114491,360094344.00
19630329,0.062645,0.054460,380298778.00
19630628,0.049177,0.041182,396986570.00
19630930,0.038372,0.030982,409718288.00
19631231,0.044220,0.034541,424618266.00
19640331,0.061843,0.054266,452022205.00
19640630,0.037504,0.029880,468073902.00
19640930,0.039368,0.032138,484458915.00
19641231,0.015720,0.006986,490134900.00
19650331,0.035699,0.028506,505896929.00
19650630,-0.024225,-0.031505,491607566.00
19650930,0.081651,0.074063,527974011.00
19651231,0.046410,0.037445,552707745.00
19660331,-0.017597,-0.024632,539522772.00
19660630,-0.039024,-0.046641,515842452.00
19660930,-0.093638,-0.101309,463864204.00
19661230,0.067137,0.056853,495609544.00
19670331,0.145022,0.136221,564273527.00
19670630,0.027603,0.019888,574776952.00
19670929,0.078344,0.070750,613846339.00
19671229,0.013286,0.005203,628636310.00
19680329,-0.063968,-0.071034,583403393.00
19680628,0.136688,0.128525,657705465.00
19680930,0.039875,0.032796,680737045.00
19681231,0.031893,0.024442,718331607.00
19690328,-0.031316,-0.037991,694302694.00
19690630,-0.043448,-0.050718,661215317.00
19690930,-0.039243,-0.046555,634452327.00
19691231,0.001577,-0.006675,641070805.00
19700331,-0.025334,-0.033111,623346402.00
19700630,-0.205643,-0.213248,490902596.00
19700930,0.181533,0.171001,579881242.00
19701231,0.093947,0.084360,639976313.00
19710331,0.117727,0.109529,712512170.00
19710630,-0.001185,-0.008382,707866276.00
19710930,-0.004502,-0.011665,703806397.00
19711231,0.045541,0.037475,747603983.00
19720330,0.069873,0.062829,797664613.00
19720630,0.000615,-0.006048,796151270.00
19720929,0.023647,0.017053,814290246.00
19721229,0.070776,0.063424,885867836.00
19730330,-0.073084,-0.079243,817290822.00
19730629,-0.076124,-0.083186,750960407.00
19730928,0.077550,0.069555,805133429.00
19731231,-0.105905,-0.114455,714669712.00
19740329,-0.018050,-0.026477,695056966.00
19740628,-0.099209,-0.108342,619756710.00
19740930,-0.243841,-0.253298,462810303.00
19741231,0.087834,0.072837,500677668.00
19750331,0.242203,0.228535,623126148.00
19750630,0.161493,0.150055,719777057.00
19750930,-0.115510,-0.124649,630757454.00
19751231,0.079201,0.067851,675845608.00
19760331,0.163560,0.152898,782228693.00
19760630,0.025975,0.015997,802062633.00
19760930,0.016935,0.007103,811728965.00
19761231,0.042135,0.030661,843333548.00
19770331,-0.063043,-0.072988,784997445.00
19770630,0.043312,0.031332,818527284.00
19770930,-0.028512,-0.039420,789743701.00
19771230,0.009309,-0.003935,790592175.00
19780331,-0.037157,-0.049670,749799485.00
19780630,0.091468,0.077835,808642169.00
19780929,0.092071,0.079725,875226981.00
19781229,-0.060668,-0.073936,816596237.00
19790330,0.084701,0.070687,871850648.00
19790629,0.039696,0.025784,896356038.00
19790928,0.080958,0.068085,958464514.00
19791231,0.013749,-0.000121,969058267.00
19800331,-0.055673,-0.067683,899634045.00
19800630,0.152703,0.137862,1032438340.00
19800930,0.120642,0.107679,1157874360.00
19801231,0.088141,0.076025,1259544880.00
19810331,0.017390,0.005697,1266169010.00
19810630,-0.012537,-0.023933,1241116720.00
19810930,-0.114394,-0.125524,1086706750.00
19811231,0.075945,0.061998,1157485220.00
19820331,-0.084157,-0.097295,1034512790.00
19820630,-0.009779,-0.024248,1010867780.00
19820930,0.115641,0.099989,1110062740.00
19821231,0.187901,0.173565,1311245130.00
19830331,0.103155,0.090488,1426157230.00
19830630,0.122936,0.111614,1605293370.00
19830930,-0.003790,-0.013996,1595996700.00
19831230,-0.002817,-0.013535,1588204530.00
19840330,-0.030612,-0.041341,1513207130.00
19840629,-0.025617,-0.037340,1441917070.00
19840928,0.095489,0.083509,1557547770.00
19841231,0.015525,0.003686,1549627450.00
19850329,0.097959,0.086458,1676421740.00
19850628,0.072759,0.061842,1761617750.00
19850930,-0.043991,-0.053925,1658981430.00
19851231,0.164792,0.152997,1912680550.00
19860331,0.139691,0.129530,2153702000.00
19860630,0.053107,0.044062,2237181360.00
19860930,-0.066879,-0.074832,2076123460.00
19861231,0.043660,0.033138,2134074070.00
19870331,0.206352,0.197124,2571823900.00
19870630,0.038122,0.029577,2664527230.00
19870930,0.062012,0.053854,2819329990.00
19871231,-0.227387,-0.235685,2153939130.00
19880331,0.072481,0.061066,2282875590.00
19880630,0.064049,0.054127,2389178880.00
19880930,0.002351,-0.007813,2370968230.00
19881230,0.027230,0.014742,2379421060.00
19890331,0.070326,0.059835,2513519150.00
19890630,0.085469,0.075041,2669414820.00
19890929,0.100478,0.090617,2904212550.00
19891229,0.011914,0.003062,2922735630.00
19900330,-0.033167,-0.041712,2796635380.00
19900629,0.052332,0.042395,2915185900.00
19900928,-0.135705,-0.143678,2491571590.00
19901231,0.082432,0.071307,2670252600.00
19910328,0.145548,0.135937,3044499540.00
19910628,-0.000860,-0.009284,3048229640.00
19910930,0.056515,0.048249,3222548530.00
19911231,0.079900,0.071292,3487204460.00
19920331,-0.018445,-0.025649,3435653990.00
19920630,0.011238,0.003470,3473872220.00
19920930,0.029717,0.022080,3570969830.00
19921231,0.056781,0.049019,3780034480.00
19930331,0.047272,0.039902,3974405750.00
19930630,0.006702,-0.000475,4031994250.00
19930930,0.032023,0.024982,4164815880.00
19931231,0.020130,0.013094,4276866700.00
19940331,-0.039130,-0.045762,4103935760.00
19940630,-0.001514,-0.008920,4094745650.00
19940930,0.049696,0.042457,4291620880.00
19941230,-0.009996,-0.017500,4211855190.00
19950331,0.089639,0.082147,4575709320.00
19950630,0.083320,0.076032,4924811210.00
19950929,0.082765,0.075441,5304660010.00
19951229,0.054961,0.048346,5615870220.00
19960329,0.058340,0.052247,5940289090.00
19960628,0.037150,0.031206,6196754930.00
19960930,0.027577,0.021490,6359205330.00
19961231,0.072573,0.066514,6805083800.00
19970331,0.017812,0.012583,6904015300.00
19970630,0.162688,0.157065,7999589630.00
19970930,0.083051,0.078065,8688342980.00
19971231,0.030687,0.025887,8961562440.00
19980331,0.125671,0.121170,10089669700.00
19980630,0.015139,0.011034,10289756500.00
19980930,-0.128825,-0.132846,8958271810.00
19981231,0.193608,0.188695,10690402600.00
19990331,0.016597,0.012651,10880844200.00
19990630,0.077034,0.072438,11724598600.00
19990930,-0.084609,-0.088355,10723500200.00
19991231,0.103116,0.098907,11809519300.00
